Date,Open,High,Low,Close,Adj Close,Volume,Dollar
03-01-2005,98.331429,101.439781,97.365051,100.976517,100.976517,31807176,44.1
04-01-2005,100.323959,101.086105,96.378746,96.886841,96.886841,27614921,44.1
05-01-2005,96.363808,98.082359,95.756081,96.393692,96.393692,16534946,44.1
06-01-2005,97.175758,97.584229,93.509506,93.922951,93.922951,20852067,44.1
07-01-2005,94.96405,96.762314,94.037521,96.563057,96.563057,19398238,44.1
10-01-2005,96.886841,98.680122,95.556831,97.165802,97.165802,15135721,44.1
11-01-2005,97.444756,98.485847,96.229309,96.408638,96.408638,13969566,44.1
12-01-2005,96.802162,97.599174,94.89431,97.325203,97.325203,16416905,44.1
13-01-2005,97.325203,98.326447,96.662682,97.300293,97.300293,13750146,44.1
14-01-2005,97.634041,99.631554,96.702538,99.611633,99.611633,19352868,44.1
18-01-2005,100.109764,102.127205,98.959076,101.56929,101.56929,26443948,44.1
19-01-2005,101.942894,102.266678,97.987717,98.281616,98.281616,22599793,44.1
20-01-2005,95.890579,97.758575,95.64151,96.597923,96.597923,18070680,44.1
21-01-2005,96.906769,97.315239,93.708755,93.78846,93.78846,18586206,44.1
24-01-2005,93.992691,94.311501,89.823318,90.022575,90.022575,28150521,44.1
25-01-2005,90.630295,90.779732,87.815842,88.229294,88.229294,21398307,44.1
26-01-2005,89.300278,94.351349,89.240501,94.266663,94.266663,24708066,44.1
27-01-2005,94.027565,94.077377,92.254211,93.688828,93.688828,13304482,44.1
28-01-2005,94.655212,96.986473,92.822083,94.814613,94.814613,24507919,44.1
31-01-2005,96.48336,97.81337,95.502037,97.444756,97.444756,19265342,44.1
01-02-2005,96.827065,97.962814,94.959068,95.591698,95.591698,37819226,44.1
02-02-2005,107.372543,107.995209,101.449738,102.595444,102.595444,65844480,44.1
03-02-2005,102.61039,106.286613,102.520729,105.036301,105.036301,26073565,44.1
04-02-2005,102.849495,103.487106,100.921722,101.798431,101.798431,29749693,44.1
07-02-2005,102.246758,102.814629,97.389961,97.648987,97.648987,26017958,44.1
08-02-2005,98.112251,99.636536,96.901787,98.949112,98.949112,23046060,44.1
09-02-2005,100.005157,100.423592,94.376251,95.432297,95.432297,34471726,44.1
10-02-2005,95.626572,95.746117,92.279114,93.639015,93.639015,38107704,44.1
11-02-2005,92.981483,95.800919,92.687584,93.350098,93.350098,26330324,44.1
14-02-2005,91.083595,96.179497,90.162048,96.134666,96.134666,77413481,44.1
15-02-2005,96.438522,99.546875,96.179497,97.250481,97.250481,51758881,44.1
16-02-2005,96.986473,99.292824,96.787216,98.834541,98.834541,33188534,44.1
17-02-2005,98.545624,99.502045,98.037529,98.580498,98.580498,20906871,44.1
18-02-2005,98.884354,99.048744,97.962814,98.6054,98.6054,17035414,44.1
22-02-2005,97.88311,99.078629,94.839516,95.32769,95.32769,27068480,44.1
23-02-2005,96.289085,96.876884,93.977745,96.612869,96.612869,31288840,44.1
24-02-2005,91.342628,94.570526,90.774757,94.092316,94.092316,51822117,44.1
25-02-2005,94.221832,94.605392,92.40863,92.587959,92.587959,20021766,44.1
28-02-2005,92.652718,94.58049,92.577995,93.643997,93.643997,15695411,44.1
01-03-2005,94.291573,94.520714,90.660187,92.682602,92.682602,18692201,44.1
02-03-2005,92.627808,93.484596,91.835777,92.244247,92.244247,14625616,44.1
03-03-2005,92.717468,93.524445,91.810867,93.15583,93.15583,15274238,44.1
04-03-2005,93.001411,93.275383,92.189453,92.602905,92.602905,13598982,44.1
07-03-2005,93.539391,94.445992,93.165794,94.052467,94.052467,17399775,44.1
